type,amount,oldbalanceOrig,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
PAYMENT,600.0,170136.0,160296.36,0.0,0.0,0
PAYMENT,10000.0,21249.0,19384.72,0.0,0.0,0
PAYMENT,1000.0,181.0,0.0,0.0,0.0,0
PAYMENT,700.0,181.0,0.0,21182.0,0.0,0
PAYMENT,1000.0,41554.0,29885.86,0.0,0.0,0
PAYMENT,1000.0,53860.0,46042.29,0.0,0.0,0
PAYMENT,1000.0,183195.0,176087.23,0.0,0.0,0
PAYMENT,1000.0,176087.23,168225.59,0.0,0.0,0
PAYMENT,1000.0,2671.0,0.0,0.0,0.0,0
PAYMENT,500.0,41720.0,36382.23,41898.0,40348.79,0
PAYMENT,1000.0,4465.0,0.0,10845.0,157982.12,0
PAYMENT,1000.0,20771.0,17671.03,0.0,0.0,0
PAYMENT,230.0,5070.0,2509.26,0.0,0.0,0
PAYMENT,200.0,10127.0,0.0,0.0,0.0,0
PAYMENT,500.0,503264.0,499165.22,0.0,0.0,0
PAYMENT,3000.0,15325.0,0.0,5083.0,51513.44,0
PAYMENT,300.0,450.0,0.0,0.0,0.0,0
PAYMENT,50.0,21156.0,19998.14,0.0,0.0,0
PAYMENT,31000.0,15123.0,14451.36,0.0,0.0,0
PAYMENT,200.0,705.0,0.0,22425.0,0.0,0
PAYMENT,500.0,13854.0,12480.57,0.0,0.0,0
PAYMENT,500.0,11299.0,1996.21,29832.0,16896.7,0
PAYMENT,1000.0,1817.0,751.59,10330.0,0.0,0
PAYMENT,1000.0,67852.0,63975.59,0.0,0.0,0
PAYMENT,1000.0,10835.0,0.0,6267.0,2719172.89,0
PAYMENT,2000.0,443.0,0.0,0.0,0.0,0
PAYMENT,2000.0,116494.0,107015.61,0.0,0.0,0
PAYMENT,1500.0,10968.0,2958.91,0.0,0.0,0
PAYMENT,1000.0,2958.91,0.0,0.0,0.0,0
PAYMENT,2000.0,0.0,0.0,0.0,0.0,0
PAYMENT,500.0,0.0,0.0,0.0,0.0,0
PAYMENT,1000.0,0.0,0.0,0.0,0.0,0
CUSTOM_WITHHOLDING_TAX,27.5,0.0,0.0,0.0,0.0,0
COMMISSIONING,275.0,0.0,0.0,0.0,0.0,0
PAYMENT,15000.0,0.0,0.0,0.0,0.0,0
PAYMENT,500.0,0.0,0.0,0.0,0.0,0
PAYMENT,3000.0,253.0,0.0,0.0,0.0,0
PAYMENT,1000.0,300481.0,297689.58,0.0,0.0,0
PAYMENT,5000.0,297689.58,290276.03,0.0,0.0,0
PAYMENT,3000.0,233633.0,230337.81,0.0,0.0,0
PAYMENT,71000.0,297.0,0.0,0.0,0.0,0
PAYMENT,1000.0,32604.0,26845.41,209699.0,16997.22,0
PAYMENT,1000.0,26845.41,0.0,288800.0,2415.16,0
PAYMENT,300.0,998.0,0.0,0.0,0.0,0
PAYMENT,500.0,0.0,0.0,0.0,0.0,0
PAYMENT,3000.0,152019.0,146737.52,0.0,0.0,0
PAYMENT,250.0,15818.0,1942.02,0.0,0.0,0
PAYMENT,2000.0,1942.02,0.0,70253.0,64106.18,0
PAYMENT,1000.0,0.0,0.0,652637.0,6453430.91,0
